name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
County Road 40		way	7928483	multiple	residential,track	-120.1305711	41.2683110	22	0.2			Modoc County	California	United States of America	us	County Road 40, Modoc County, California, United States of America	-120.1462441	41.2539829	-120.1127920	41.2959390			
County Road 53		way	7928832	multiple	residential,track	-120.4429230	41.6824780	22	0.2			Modoc County	California	United States of America	us	County Road 53, Modoc County, California, United States of America	-120.4487811	41.6574980	-120.4265980	41.7002879			
County Road 57		way	7928983	highway	residential	-120.4762320	41.4579540	22	0.2	County Road 57		Modoc County	California	United States of America	us	County Road 57, Modoc County, California, United States of America	-120.4936930	41.4397930	-120.4698071	41.4806429			
County Road 62		way	7929184	highway	residential	-120.5829350	41.3706630	22	0.2	County Road 62		Modoc County	California	United States of America	us	County Road 62, Modoc County, California, United States of America	-120.5837900	41.3705160	-120.5639870	41.3708240			
County Road 64		way	7929193	multiple	residential,service,unclassified	-120.3001610	41.2696930	22	0.2			Modoc County	California	United States of America	us	County Road 64, Modoc County, California, United States of America	-120.3112271	41.2647590	-120.2918080	41.2723860			
County Road 69		way	7929347	highway	residential	-120.7897110	41.4252300	22	0.2	County Road 69		Modoc County	California	United States of America	us	County Road 69, Modoc County, California, United States of America	-120.7940560	41.4141530	-120.7893120	41.4557280			
County Road 7		way	7928167	multiple	residential,track	-120.0853890	41.8478959	22	0.2			Modoc County	California	United States of America	us	County Road 7, Modoc County, California, United States of America	-120.0885690	41.8197760	-120.0761060	41.8664830			
County Road 72		way	7929488	highway	residential	-120.6671150	41.3511160	22	0.2	County Road 72		Modoc County	California	United States of America	us	County Road 72, Modoc County, California, United States of America	-120.6790610	41.3352850	-120.6493530	41.3696619			
County Road 75		way	7929537	multiple	residential,service	-120.6495260	41.4576520	22	0.2			Modoc County	California	United States of America	us	County Road 75, Modoc County, California, United States of America	-120.6596691	41.4252140	-120.6332300	41.4867820			
County Road 83		way	7929813	highway	residential	-120.8804140	41.4445690	22	0.2	County Road 83		Modoc County	California	United States of America	us	County Road 83, Modoc County, California, United States of America	-120.8898122	41.4408539	-120.8706168	41.4480030			
County Road 88		way	7929948	multiple	residential,unclassified	-120.9388400	41.1901380	22	0.2			Modoc County	California	United States of America	us	County Road 88, Modoc County, California, United States of America	-120.9452824	41.1841440	-120.9307220	41.1903019			
Cow Head Slough		way	86371674	multiple	ditch,stream	-120.0166359	41.9741431	22	0.2			Modoc County	California	United States of America	us	Cow Head Slough, Modoc County, California, United States of America	-120.0333158	41.9454132	-120.0132322	41.9972443			
Coyote Creek		way	7926410	multiple	ditch,residential,stream	-120.2699487	41.2130285	22	0.2			Modoc County	California	United States of America	us	Coyote Creek, Modoc County, California, United States of America	-120.3257729	41.1949010	-120.2504486	41.2261868			
Daniels Creek		way	86341891	waterway	stream	-120.2156809	41.6143713	22	0.2			Modoc County	California	United States of America	us	Daniels Creek, Modoc County, California, United States of America	-120.2390839	41.6103898	-120.1935670	41.6352496			
Davis Creek		way	86346070	multiple	ditch,stream	-120.3761805	41.7452110	22	0.2			Modoc County	California	United States of America	us	Davis Creek, Modoc County, California, United States of America	-120.4193016	41.7347898	-120.3414174	41.7719538			
Davis Drive		way	7926590	highway	residential	-120.6792431	41.4021799	22	0.2	Davis Drive		Modoc County	California	United States of America	us	Davis Drive, Modoc County, California, United States of America	-120.6800120	41.4018120	-120.6745940	41.4021799			
